D_func-S-2-all,D_func-S-3-all,f-lig-T-1,sum-lc-T-2-all,sum-lc-alpha-0-all,sum-D_lc-S-1-all,sum-D_lc-S-2-all,sum-D_lc-S-3-all,sum-D_lc-alpha-3-all,sum-func-chi-0-all,sum-func-Z-0-all,sum-func-Z-3-all,sum-D_func-chi-1-all,sum-D_func-chi-2-all,sum-D_func-T-1-all,sum-D_func-T-3-all,sum-f-lig-I-0,MNC,MPC,pure_CO2_kH,pure_CO2_widomHOA,pure_methane_kH,pure_methane_widomHOA,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_580000
0.66,1.06,1072.0,12.0,84.27,-0.12,-0.12,-0.24,-36.0,27.7248,147.0,714.0,6.93,12.39,6.0,36.0,144,-0.411,0.904,8.7e-05,-22.67434351,2.18e-05,-16.25919862,0.937286612,5.221094125
0.064714286,0.195142857,330.0,44.4,193.79,-0.3,1.32,1.24,-32.2,31.2481,349.7142857,458.8571429,-0.221071429,1.988214286,1.678571429,-3.785714286,124,-0.497,1.228,3.33e-05,-20.81253375,7.68e-06,-13.82321369,0.502480488,2.955652579
0.37,-0.02,282.0,130.6666667,627.24,-0.64,4.56,-1.013333333,-164.0,73.9328,392.0,672.0,7.84,17.36,-16.0,-16.0,352,-0.436,0.92,5.02e-05,-21.76187106,1.12e-05,-14.24148103,0.700165218,3.931157173
-0.03,-0.06,240.0,64.0,449.44,-0.64,-0.64,-1.28,-192.0,142.0032,768.0,1152.0,10.68,10.68,-24.0,-48.0,320,-0.479,1.245,7.77e-05,-22.95630086,1.67e-05,-16.74596671,1.050109408,3.39924215
-0.026666667,0.086666667,180.0,16.66666667,117.47,-0.08,-0.106666667,-0.2,-29.4,18.4832,98.0,308.0,0.98,1.96,-4.0,-12.0,46,-0.532,1.741,0.00313541,-40.13713353,6.96e-06,-12.25327745,3.25583771,2.54128485
-0.1,0.34,150.0,16.0,112.36,-0.16,-0.16,-0.16,-24.0,47.3344,256.0,768.0,5.34,8.9,-8.0,6.0,52,-0.504,1.263,7.18e-05,-26.19972334,1.11e-05,-19.16742057,0.825272227,2.023616659
-0.016,-0.016,202.0,64.0,238.24,-0.186666667,2.08,2.153333333,-4.9,18.4832,98.0,168.0,0.0,1.96,0.0,-4.0,82,-0.478,1.143,0.000247215,-28.08450207,4.48e-05,-20.96506318,2.059169323,4.068541001
0.0,0.0,366.0,24.0,169.2742857,-0.091428571,-0.137142857,0.182857143,-33.37142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,-0.556,1.805,0.0103344,-43.7004204,2.49e-05,-17.78294683,5.560020305,3.932770938
-0.026666667,0.066666667,222.6666667,24.0,168.54,-0.24,-0.24,-0.48,-72.0,47.3344,256.0,400.0,6.04,3.56,-4.0,-12.0,112,-0.538,1.324,3.48e-05,-25.69503502,4.84e-06,-17.48155158,0.421691966,1.181278837
-0.04,-0.08,730.0,77.71428571,285.68,-0.32,0.411428571,0.914285714,-118.4,94.6688,512.0,768.0,7.12,7.12,-16.0,-32.0,416,-0.923,2.403,1.87e-05,-20.20762946,5.95e-06,-14.29169423,0.276919634,2.4208297
-0.04,-0.08,150.0,60.0,248.55,-0.24,2.04,0.78,-50.7,71.0016,384.0,576.0,5.34,5.34,-12.0,-24.0,78,-0.423,0.902,0.000778736,-32.8243719,6.8e-05,-22.4967323,2.511250649,3.362389533
0.48,1.065,150.0,16.0,112.36,-0.16,-0.16,-1.32,-80.4,36.98,640.0,1440.0,1.9,2.02,-8.0,6.0,52,-0.484,0.853,5.46e-05,-21.79625366,1.11e-05,-14.18566724,0.823027625,2.7230086
-0.026666667,0.933333333,954.0,32.0,224.72,-0.32,-0.32,-0.64,-96.0,80.8448,432.0,1082.666667,12.08,5.226666667,5.333333333,21.33333333,576,-0.427,0.925,2.27e-05,-16.86127714,8.46e-06,-11.63529642,0.326729758,3.682659401
0.213333333,-0.06,674.0,133.3333333,438.08,-0.266666667,3.733333333,3.786666667,-21.06666667,73.9328,392.0,1400.0,8.4,12.32,8.0,-5.333333333,384,-0.24,1.192,0.000231402,-27.34637992,6.39e-05,-22.54162113,2.102396268,4.240044821
0.0,0.0,1316.0,68.0,221.88,-0.24,-0.32,1.8,-61.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528,-0.594,1.505,2.87e-05,-19.7585441,6.53e-06,-11.40643143,0.413779919,3.081013736
0.0,0.0,390.0,16.0,112.36,-0.16,-0.16,-0.32,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,-0.679,1.13,0.000366487,-35.43681995,1.9e-05,-17.52247692,2.38149084,2.807964541
-0.05,-0.09,243.0,88.0,331.4,-0.32,1.56,1.9,-44.1,94.6688,512.0,992.0,7.12,8.72,-16.0,-36.0,160,-0.421,0.882,0.00170629,-44.67768826,1.9e-06,-20.59987968,1.650591172,0.836450481
0.0,0.0,2.0,0.0,1641.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,-0.316,0.82,4.68e-06,-13.60670036,2.23e-06,-10.4454331,0.070086276,1.101013702
0.056666667,0.353333333,1236.0,16.0,112.36,-0.16,-0.16,-0.32,-48.0,40.91473333,353.3333333,1473.333333,2.373333333,3.08,-4.0,-6.666666667,360,-0.512,1.467,3.23e-05,-19.45972532,1.11e-05,-14.13235933,0.469267248,3.601511
-0.024,0.432,144.0,64.0,561.8,-0.64,-0.48,-0.96,-144.0,195.2,1040.0,1176.0,29.56,11.76,112.0,80.0,256,-0.531,2.09,7.68e-06,-19.12225472,2.67e-06,-14.8312023,0.114182875,0.881936311
0.466666667,0.46,457.3333333,64.0,275.22,-0.24,2.96,-0.24,-39.6,60.6336,324.0,500.0,4.72,12.42,-8.0,0.0,200,-0.448,1.213,5.6e-05,-29.37839873,8.98e-06,-22.53444874,0.634965791,1.562371077
0.0,0.0,342.0,16.0,112.36,-0.16,-0.16,-0.32,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,-0.433,0.902,4.76e-05,-20.01902803,1.43e-05,-15.00927444,0.698727631,3.829795849
0.346666667,0.106666667,256.0,268.8,876.16,-0.448,1.792,3.456,-9.6,147.8656,784.0,1754.666667,13.06666667,26.50666667,-26.66666667,-10.66666667,320,-0.266,1.112,0.00187915,-42.22534342,1.11e-05,-17.75823823,3.535623866,2.728935307
-0.02,-0.04,172.0,144.0,497.1,-0.4,-0.48,8.56,-18.0,71.0016,384.0,576.0,5.34,5.34,-12.0,-24.0,174,-1.112,0.923,4.4e-05,-21.53159973,8.97e-06,-13.82627554,0.624304941,3.312281824
-0.05,0.46,810.0,64.0,449.44,-0.64,-0.64,-1.28,-192.0,168.6016,904.0,2672.0,21.68,18.88,0.0,-16.0,960,-0.96,1.224,0.000337901,-38.22971206,9.27e-06,-11.07667016,0.890804409,4.420119224
-0.16,0.2,1386.0,16.0,112.36,-0.16,-0.16,-0.32,-48.0,47.3344,256.0,800.0,7.12,14.24,-8.0,-8.0,360,-0.431,0.904,1.54e-05,-12.82707978,7.17e-06,-8.426302857,0.230729211,3.672724469
0.0,0.0,232.0,80.0,449.44,-0.64,-0.64,10.88,-70.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,-0.615,1.306,0.000479206,-35.34765479,1.4e-05,-16.72717327,2.266753494,3.080940493
-0.04,-0.04,116.0,72.0,264.552,-0.192,-0.24,0.048,0.72,71.0016,384.0,672.0,5.34,5.34,-12.0,-12.0,66,-0.553,1.104,0.0213494,-49.10721192,3.4e-06,-10.78880775,5.255752234,1.542429029
0.0,0.0,300.0,168.0,954.52,-0.16,2.56,5.52,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368,-0.417,1.748,9.3e-05,-24.67929043,2.65e-05,-19.67847434,0.93443184,2.030771335
-0.16,1.28,348.0,48.0,337.08,-0.48,-0.48,-0.96,-144.0,142.0032,768.0,2688.0,21.36,42.72,-24.0,0.0,324,-0.692,2.112,1.73e-05,-18.79395881,6.79e-06,-14.2465055,0.270389211,1.821741568
0.0,0.0,366.0,24.0,169.2742857,-0.091428571,-0.137142857,0.182857143,-33.37142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,-0.488,1.596,0.00181599,-37.50101455,2.36e-05,-17.29724562,5.112534218,4.095399089
-0.04,-0.08,216.0,48.0,337.08,-0.48,-0.48,-0.96,-144.0,142.0032,768.0,1152.0,10.68,10.68,-24.0,-48.0,216,-0.726,1.231,0.000149515,-27.0160971,1.08e-05,-13.61771909,1.605733007,3.805905952
0.0,0.0,690.0,12.0,84.27,-0.12,-0.12,-0.24,-36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,-0.423,0.911,2.01e-05,-14.22242226,7.97e-06,-9.856318831,0.302402049,4.131392085
-0.04,-0.08,226.0,51.0,337.08,-0.48,-0.48,0.12,-141.6,142.0032,768.0,1152.0,18.12,10.68,-12.0,-36.0,228,-0.527,0.561,4.68e-05,-22.90568138,7.22e-06,-12.16314964,0.603118136,2.944145308
0.1525,2.10625,324.0,30.19047619,128.87,-1.14047619,0.31047619,-1.04047619,-89.92380952,30.91356667,631.6666667,1793.666667,-6.48,0.643333333,18.33333333,49.0,96,-0.479,0.915,0.0128008,-50.03485281,9.2e-06,-22.84273362,1.37208498,1.567654871
0.37,0.26,498.0,10.0,56.18,-0.08,-0.08,1.36,-8.8,21.0752,113.0,374.0,2.36,2.17,-3.0,-8.0,72,-0.63,1.873,0.0058304,-45.1793142,1.71e-05,-19.80963771,3.608855326,3.141485236
-0.016,-0.024,147.6,38.0,195.875,-0.16,0.113333333,0.253333333,-26.46666667,23.6672,128.0,208.0,1.78,1.78,-4.0,-6.0,66,-0.493,1.482,0.0122925,-52.65794473,5.22e-06,-17.50803942,2.392191562,0.977908529
