4s,3p,3d,4d,5d,4f,oxidation_state,temperature,time,CellV [A^3],Df,NASA [m^2/cm^3],density [g/cm^3],total_POV_gravimetric,mc_CRY-chi-1-all,mc_CRY-chi-3-all,mc_CRY-Z-2-all,D_mc_CRY-S-2-all,sum-mc_CRY-chi-0-all,sum-mc_CRY-Z-1-all,lc-Z-2-all,lc-alpha-3-all,D_lc-chi-1-all,D_lc-chi-3-all,D_lc-Z-1-all,D_lc-T-3-all,D_lc-alpha-2-all,func-Z-0-all,func-T-3-all,D_func-chi-1-all,D_func-chi-2-all,D_func-T-3-all,D_func-S-1-all,sum-lc-T-3-all,sum-D_lc-T-2-all,sum-D_lc-S-1-all,sum-func-alpha-3-all,sum-D_func-T-1-all,sum-D_func-T-2-all,sum-D_func-T-3-all,sum-D_func-alpha-2-all,sum-f-lig-T-3,MNC,pure_CO2_kH,pure_CO2_widomHOA,pure_methane_kH,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_580000,logKH_CH4,solvent1,solvent2,solvent3,additive,param3,param4,param5,additive_category,HBA,HBD,LogP
2,6,10,0,0,0,2,110,72.0,8860.75,7.0815,152.183,0.92351,0.4066224,21.285,59.816625,3195.0,1.485,21.78,7200,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,64.0,36.22222222,1.681111111,4.676666667,-7.555555556,-0.075555556,36.0,-12.0,-0.24,1996.333333,-17.33333333,-6.666666667,-45.33333333,-91.46666667,16980,-0.969,0.000886608,-35.99289871,8.08e-05,2.38729305,4.314398722,-4.092427958,6228,0,0,0,0.389716841,-0.024257543,-0.004702983,1,4,2,10.215399999999994
2,6,10,0,0,0,2,85,72.0,1915.19,3.00466,19.012,1.26832,0.0131355,21.384,51.117,1080.0,3.24,10.89,3600,105.0,128.905,0.935,2.77,2.0,-1.0,-4.0,32.0,3.0,0.445,0.445,-1.5,-0.02,64.0,-12.0,-0.32,430.36,-8.0,-12.0,-12.0,-24.0,2448,-0.459,6.53e-05,-33.6057295,1.43e-05,0.686678947,2.116689009,-4.843720474,6228,0,0,0,-0.110283159,-0.089079437,0.295377468,1,2,0,2.2618
1,6,10,0,0,0,2,80,24.0,36957.6,8.92625,0.0,0.425765,1.87263,26.144,45.524,696.0,2.44,86.64,22272,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,49.0,24.33333333,0.49,1.586666667,0.0,-0.02,48.0,-16.0,-0.32,2362.08,-2.666666667,-8.0,0.0,-75.46666667,20016,-0.415,2.25e-05,-15.97220455,8.42e-06,0.330132803,3.903340489,-5.074684814,6228,0,0,28118,-0.110283159,-0.089079437,0.295377468,2,15,6,8.619900000000005
2,6,10,10,0,10,3,95,24.0,1488.36,5.74465,0.0,1.16881,0.378606,28.2918,35.4532,1980.0,4.5,2.9768,7128,107.5555556,163.2222222,0.593333333,1.582222222,1.333333333,-3.555555556,-5.333333333,16.33333333,10.0,0.723333333,0.326666667,0.666666667,0.246666667,28.0,-5.333333333,-0.08,284.16,4.0,0.0,2.0,-7.8,1782,-0.541,0.0110566,-47.07006997,1.14e-05,4.143843996,3.420079706,-4.944786089,6228,0,0,0,-0.110283159,-0.089079437,0.295377468,1,2,2,3.389400000000001
2,6,10,0,0,0,2,80,72.0,2899.99,4.27158,0.0,1.16057,0.376297,21.12,52.3908,1200.0,3.488,27.225,8880,105.7777778,54.72666667,0.732222222,0.966666667,1.555555556,-0.888888889,-1.155555556,21.33333333,2.0,0.296666667,0.296666667,-1.333333333,-0.013333333,34.66666667,-2.666666667,-0.373333333,479.12,-8.0,-8.0,-16.0,-24.0,1416,-0.482,9.3e-05,-24.91875839,9.76e-06,1.402747199,2.947057273,-5.010741563,962,6228,0,10340,-0.110283159,0.083073132,-0.129610464,0,2,1,-0.19529999999999997
2,6,10,0,0,0,2,120,72.0,3067.8,3.38284,466.24,1.47981,0.142113,18.92,40.513,1200.0,1.8,32.67,9600,112.0,119.78,0.89,1.78,2.0,-3.7,-6.0,42.66666667,3.777777778,0.593333333,0.593333333,-2.444444444,-0.026666667,34.2,-12.0,-0.24,479.12,-8.0,-8.0,-14.66666667,-24.0,3528,-0.593,0.0562876,-58.62530905,1.04e-05,3.083039345,1.472353835,-4.981861452,962,702,0,0,-0.110283159,0.083073132,-0.129610464,1,4,4,2.1464
2,6,10,10,0,0,2,160,72.0,4006.59,3.32069,318.254,1.65307,0.114901,32.8536,86.5449,4896.0,6.39,22.8488,17280,128.3333333,192.8766667,0.95,1.376666667,2.0,-1.0,-6.566666667,300.6666667,4.0,0.486666667,0.577777778,-2.222222222,0.064444444,148.0,-20.0,-0.48,2298.186667,-16.0,-21.33333333,-26.66666667,19.73333333,4416,-0.486,0.000488689,-33.53562658,0.000104896,1.232184957,1.87200476,-3.979241072,962,6342,0,8471,-0.110283159,0.083073132,-0.129610464,0,3,3,1.4730999999999999
2,6,5,0,0,0,2,110,48.0,9516.34,5.82761,0.0,0.702361,0.964974,23.994,32.49575,1150.0,2.17,38.44,14400,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,49.0,24.33333333,0.49,1.586666667,0.0,-0.02,48.0,-16.0,-0.32,2362.08,-2.666666667,-8.0,0.0,-75.46666667,6112,-0.553,0.00173395,-35.77678778,8.48e-06,3.745060244,4.039939493,-5.071601075,6228,0,0,176,0.389716841,-0.020010434,-0.059007085,2,7,4,1.7271
2,6,10,10,0,0,2,65,24.0,6312.88,5.81249,0.0,0.948677,0.681391,25.19226667,31.8058,2496.0,2.366666667,34.2732,19968,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,-8.0,-0.16,0.0,0.0,0.0,0.0,0.0,5184,-0.552,0.000694788,-31.90876301,1.6e-05,4.412941648,4.862387581,-4.795258878,6228,702,0,0,0.223050174,-0.13293828,0.192400799,1,6,6,4.876800000000002
2,6,10,10,0,0,2,85,48.0,4640.63,6.85436,0.0,0.828799,0.85543,23.2544,38.33765,3312.0,2.485,22.8488,12288,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,52.75,22.5,0.59,1.325,-2.5,-0.025,24.0,-8.0,-0.16,1323.02,-5.0,-11.0,-10.0,-41.1,2392,-0.539,0.000272259,-28.75771127,5.28e-06,2.559731685,2.80913214,-5.277056917,962,31374,0,944,-0.110283159,-0.003003152,0.082883502,2,6,4,2.8948
2,6,10,10,0,7,3,120,48.0,4675.85,2.43072,502.447,1.4554,0.133888,33.246,53.178,6048.0,5.005,11.52,32508,103.1428571,177.9811429,0.445142857,1.590571429,0.971428571,-2.257142857,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,149.6,-19.2,-0.272,0.0,0.0,0.0,0.0,0.0,6432,-0.544,0.0135151,-51.69556278,2.15e-05,3.120621001,2.179084755,-4.666929748,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1,2,2,2.2362
2,6,10,0,0,0,2,120,336.0,3700.36,5.43231,0.0,0.929347,0.667802,18.5856,50.4768,1200.0,3.488,27.225,7800,113.5555556,140.0844444,0.742222222,1.204444444,1.555555556,-1.444444444,-4.277777778,59.0,10.33333333,1.118333333,0.896666667,-2.333333333,0.09,114.6666667,-12.0,-0.373333333,1812.2,-12.0,-16.0,-28.0,-57.8,1456,-0.5,0.00222393,-39.94440567,1.12e-05,3.361095621,4.356601203,-4.952238528,962,6228,0,0,-0.110283159,-0.003003152,0.082883502,1,2,2,0.1079
2,6,10,0,0,0,2,85,72.0,8086.64,2.96147,169.04,1.36578,0.0480604,22.044,45.3255,900.0,2.7,21.78,7440,105.0,135.0,0.935,1.975,2.0,-1.5,-4.0,56.5,22.75,1.1225,2.21,-2.25,0.055,64.0,-8.0,-0.32,2036.56,-8.0,-6.0,-18.0,-70.2,6280,-0.538,4.78e-05,-27.82773941,8.69e-06,0.622764545,1.070495309,-5.060845308,962,6228,0,0,-0.110283159,-0.003003152,0.082883502,1,6,4,3.6374000000000013
2,6,10,10,0,7,3,60,96.0,3743.97,6.82671,0.0,1.41267,0.286351,33.024,34.872,6237.0,5.46,11.52,32256,112.0,119.78,0.89,1.78,2.0,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,-24.0,-0.48,0.0,0.0,0.0,0.0,0.0,3000,-0.547,0.000329724,-37.06765377,6.85e-06,2.494817112,2.30432848,-5.164618934,962,6228,0,0,0.556383507,0.054733945,-0.246392443,1,2,2,1.083
2,6,10,10,0,0,2,120,48.0,1574.83,3.55446,580.668,1.49143,0.188115,22.5784,46.4243,1440.0,3.55,11.4244,5952,108.5,127.39,0.9125,1.8775,2.0,-2.75,-5.0,64.0,6.0,0.89,0.89,-4.0,-0.04,28.0,-6.0,-0.16,479.12,-8.0,-8.0,-16.0,-24.0,1992,-0.472,0.00549357,-42.33304989,5.89e-05,3.238901006,2.706544241,-4.230157608,6228,0,0,0,0.889716841,-0.028084662,0.474379882,1,3,2,2.1450000000000005
