CellV [A^3],Df,NASA [m^2/cm^3],total_SA_volumetric,total_POV_gravimetric,mc_CRY-chi-0-all,mc_CRY-chi-1-all,mc_CRY-chi-3-all,mc_CRY-Z-0-all,mc_CRY-Z-3-all,mc_CRY-T-1-all,mc_CRY-S-0-all,D_mc_CRY-S-2-all,sum-mc_CRY-chi-0-all,sum-mc_CRY-Z-1-all,lc-chi-3-all,lc-Z-0-all,lc-Z-2-all,lc-T-1-all,lc-alpha-0-all,D_lc-chi-1-all,D_lc-chi-3-all,D_lc-T-1-all,D_lc-T-3-all,D_lc-S-1-all,D_lc-alpha-2-all,func-chi-0-all,func-Z-1-all,D_func-chi-1-all,D_func-chi-3-all,D_func-Z-2-all,D_func-T-3-all,D_func-S-1-all,f-lig-T-1,sum-D_lc-Z-1-all,sum-D_lc-Z-3-all,sum-D_lc-T-2-all,sum-D_lc-alpha-1-all,sum-func-T-3-all,sum-D_func-chi-2-all,sum-D_func-T-1-all,sum-D_func-T-2-all,sum-f-lig-T-1,MNC,MPC,pure_CO2_kH,pure_CO2_widomHOA,pure_methane_kH,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_580000,logKH_CH4,temperature,time,solvent1,solvent2,solvent3,additive,param3,param4,param5,additive_category
2449.58,3.20914,143.541,143.541,0.0362476,1.44,28.896,86.52,4096.0,10336.0,115.0,2.8561,4.73,11.52,28672,0.0,64.0,157.7142857,3.714285714,28.09,0.868571429,0.0,-2.714285714,0.0,-0.218571429,0.228571429,4.754571429,365.7142857,-2.457142857,0.0,0.0,0.0,0.828571429,28.0,-72.0,0.0,0.0,-165.0,0.0,0.0,120.0,0.0,392,-0.589,1.819,0.139061,-61.94688717,2.83e-06,1.679961312,0.591251581,-5.548520595,140,48,679,0,0,284,-0.110283159,-0.350299755,0.586608361,2
4070.64,6.24705,0.0,2359.68,0.934072,2.7225,22.704,41.15571429,900.0,1748.571429,35.71428571,1.7161,2.16,19.0575,6720,17.6472,64.0,112.0,3.0,28.09,0.89,1.75,-2.0,-3.0,-0.04,-6.0,8.166416667,150.0,0.302083333,-1.387916667,28.91666667,3.375,0.3425,150.0,16.0,-48.0,-16.0,-48.0,79.66666667,2.756666667,-16.0,-27.33333333,1200,-0.602,1.249,0.000218066,-31.854989,5.29e-06,1.158684354,2.644024348,-5.27673155,100,48,6228,6342,0,0,0.389716841,-0.020010434,-0.059007085,1
2499.0,3.20904,603.909,603.909,0.29795,2.7225,22.044,38.874,900.0,1650.0,36.0,1.7161,2.74,10.89,3720,14.28,59.0,105.0,4.666666667,36.98,0.593333333,1.35,-1.333333333,-3.0,-0.026666667,-5.3,10.9696,63.11111111,0.702222222,1.458888889,1.666666667,-3.222222222,-0.031111111,232.0,8.0,18.0,-10.0,-24.0,44.0,4.54,-9.333333333,-10.0,1392,-0.462,1.235,8.37e-05,-23.75125716,1.29e-05,1.201540307,3.500072168,-4.888925766,160,120,702,0,0,0,0.889716841,0.040564351,-0.304783433,1
4315.92,3.52628,707.042,707.042,0.218235,2.7225,27.72,77.1705,900.0,2520.0,70.0,1.7161,5.12,32.67,14040,19.0494,60.25,131.25,11.25,34.7575,1.035,1.68,-2.25,-3.0,-0.045,-0.15,9.24415,121.5,0.72375,0.01875,24.75,0.375,0.1575,208.5,36.0,-60.0,24.0,-118.8,246.0,26.22,-36.0,12.0,3336,-0.781,1.214,0.00457578,-39.9551231,3.28e-05,3.944214735,3.457035665,-4.483553213,100,72,6228,0,0,0,-0.110283159,-0.089079437,0.295377468,1
2316.27,3.56519,685.582,685.582,0.212321,2.7225,21.384,52.734,900.0,1740.0,40.0,1.7161,3.24,10.89,3600,16.0436,56.5,108.5,7.5,41.425,0.935,1.54,-2.0,-2.0,-0.04,-2.05,9.674733333,111.0,1.041666667,1.641666667,20.33333333,2.5,0.04,275.0,16.0,4.0,-8.0,-55.2,113.3333333,19.89333333,-12.0,21.33333333,2200,-0.508,1.216,0.000193646,-27.71151726,4.12e-05,1.675838592,2.928172136,-4.38558056,120,72,31374,0,0,0,0.389716841,-0.027582654,0.044371836,1
4085.89,3.88877,0.0,401.762,0.128437,1.44,24.768,37.008,4096.0,4608.0,72.0,2.8561,5.52,5.76,12288,18.7824,64.0,112.0,3.0,28.09,0.89,1.42,-2.0,-1.333333333,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,12.0,36.0,-12.0,-36.0,0.0,0.0,0.0,0.0,444,-0.482,1.525,0.0442862,-49.66144122,7.85e-06,3.290803661,2.121323323,-5.105073916,140,48,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1
3149.85,6.3767,0.0,1664.98,0.456196,1.4884,25.1808,43.8468,4356.0,5544.0,72.0,2.7889,5.4,5.9536,12672,17.544,64.0,112.0,3.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,9.2416,84.0,0.98,2.31,9.0,-2.0,-0.04,306.0,12.0,24.0,-12.0,-36.0,144.0,13.86,-12.0,-12.0,1836,-0.575,1.95,0.000227542,-31.43633256,1.45e-05,2.058379498,4.058369635,-4.837495335,120,96,962,6228,679,0,0.389716841,0.061818741,-0.217196949,1
5272.53,3.62321,1130.2,1130.2,0.293303,2.8561,29.31136,74.42084,2304.0,7680.0,94.4,2.1904,8.088,28.561,19200,13.37748148,50.66666667,105.7777778,13.51851852,51.79666667,0.425555556,1.167407407,-0.888888889,-0.518518519,-0.017777778,-3.859259259,8.214755556,80.11111111,0.49,1.221111111,2.333333333,-3.666666667,-0.02,393.7777778,16.0,89.33333333,-5.333333333,-58.8,300.0,12.18,-18.0,-22.0,7088,-0.484,1.198,0.000471174,-33.36775641,3.59e-05,2.552069788,4.089496139,-4.445272256,100,120,6228,0,0,0,-0.110283159,-0.089079437,0.295377468,1
3373.21,3.87743,119.211,275.188,0.1140779,3.6481,29.13386667,56.66333333,784.0,1474.666667,53.33333333,1.4641,2.64,21.8886,5936,15.6816,55.0,107.8,8.4,44.092,0.944,1.51,-2.0,-1.6,-0.04,-1.26,10.2784,94.8,1.238,2.812,9.8,2.0,-0.052,302.4,20.0,58.0,-8.0,-70.8,186.0,22.46,-8.0,22.0,3024,-0.402,1.095,0.000201194,-33.11091667,9.7e-06,1.492242392,1.407323563,-5.013359469,180,72,962,0,0,14798,-0.110283159,0.083073132,-0.129610464,0
4164.61,2.62761,296.399,296.399,0.125878,3.5344,30.08,76.1024,729.0,1890.0,65.0,1.5876,3.92,14.1376,3996,19.336,56.5,105.0,7.5,41.425,0.935,1.975,-2.0,-1.5,-0.04,-4.0,10.5376,87.0,1.18,4.88,4.0,4.0,-0.05,528.0,16.0,68.0,-8.0,-55.2,312.0,15.32,-8.0,-8.0,4224,-0.418,1.133,0.00038722,-31.46743241,8.44e-05,1.907603626,2.496777512,-4.073891744,85,72,962,6228,6342,0,-0.110283159,0.033190829,-0.124678847,1
